bank,date,novelty,n_added,dict_dh,dict_redline,rob_dh,rob_redline,rob_disp,r2,r5,r10,r30,src,alpha_r2,alpha_r5,alpha_r10,alpha_r30
ECB,2015-03-05,0.9310344827586207,54,0.099356483729966,0.10524691358024693,-0.020380073230958466,-0.015246653459997185,0.6960112460292699,-1.0000000000000009,-3.0000000000000027,-1.000000000000023,-1.000000000000023,daily,-0.33839617493387014,-0.39638352296805957,-0.07833423084556505,0.22733018129265536
FOMC,2015-03-18,0.42307692307692313,11,0.05128205128205128,0.12121212121212124,0.020104991168549392,0.047521413263563184,0.6593706529707304,-7.289999999999989,-8.25,-5.7700000000000005,-3.9600000000000004,usmpd,0.1285632990294856,0.09268282460464673,0.2219546439062502,0.2796305072428806
ECB,2015-04-15,0.8260869565217391,38,-0.02430034982508744,-0.029561403508771927,0.043251867236339704,0.05731404429814,0.6749089336894889,-2.0000000000000018,-1.0000000000000009,1.0000000000000009,0.9999999999999787,daily,0.33475726855037585,0.30101663695803926,0.3258883936117102,0.2618618117288541
FOMC,2015-04-29,0.3913043478260869,9,-0.022380156075808247,-0.09583333333333335,-0.15652238489402168,-0.3762332080522255,0.5719565580579727,0.0,-0.32,-0.17999999999998,-0.24000000000000998,usmpd,-1.7937676373844818,-1.9609432822290354,-0.9931769487411919,0.1216858742919497
ECB,2015-06-03,0.7884615384615384,41,0.020763656633221855,0.028455284552845544,-0.013283692056854935,-0.024685963323509776,0.6570706601647194,4.999999999999993,7.999999999999985,10.999999999999988,8.999999999999986,daily,-0.3063341854302266,-0.39434735629414475,-0.11552102914759964,0.16283931100381685
FOMC,2015-06-17,0.3913043478260869,9,0.020289855072463767,0.05185185185185187,0.07242877825426504,0.18509558604758547,0.6309747097574391,-5.24999999999999,-6.96999999999998,-4.85999999999999,-3.1899999999999795,usmpd,0.6776593280281351,0.6905113099777868,0.5761076232277733,0.3251798027166066
ECB,2015-07-16,0.6862745098039216,35,0.017031171442936144,0.024470899470899463,0.13844530050781764,0.20241891370890713,0.6110949218300474,3.0000000000000027,3.0000000000000027,0.0,-2.0000000000000018,daily,1.2707984409204505,1.315139369988864,0.9716529630715227,0.38520856913357204
FOMC,2015-07-29,0.30434782608695654,7,0.021739130434782608,0.07142857142857144,0.05227218913268704,0.17175182257778945,0.6349422276403447,-1.1900000000000002,-1.65999999999999,-1.43999999999997,-0.95999999999998,usmpd,0.423373237289571,0.4081787799717841,0.40574516664194255,0.2851377927495628
ECB,2015-09-03,0.8148148148148149,44,-0.07944807552650693,-0.09671101256467107,-0.1805071616956435,-0.22537938964421228,0.661470847030636,-1.0000000000000009,-3.0000000000000027,-2.0000000000000018,-2.0000000000000018,daily,-2.030563271784476,-2.167737667429548,-1.1076047687498283,0.15389758623679095
FOMC,2015-09-17,0.46153846153846156,12,0.025222965440356744,0.09953703703703703,0.019475412000204573,0.05016490366102112,0.6701960406832571,-5.25999999999999,-5.1300000000000106,-3.94000000000001,-1.6399999999999901,usmpd,0.1075520769473506,0.06350218654390438,0.20480072120465864,0.26269966750777557
ECB,2015-10-22,0.7708333333333334,37,-0.0013613315696648365,-0.009178114992068498,-0.09074013975891324,-0.1164890237032466,0.6796105038159747,-3.0000000000000027,-1.0000000000000009,0.0,0.0,daily,-1.0487114012032208,-1.197410589093618,-0.5515922006839465,0.1663763319860303
